text,text_preprocessed,LEN
"Ina hana a Mis Luu ah ar achiivmentdem, [[Harbourfront Centre]], wah nan-prafit kolchral aaganizieshan ina [[Taranto]], [[Kianada]], weh niem wah venyuu aafa ar, nuo az ""Mis Luu Ruum"".",Ina hana a Mis Luu ah ar achiivmentdem Harbourfront_Centre wah nanprafit kolchral aaganizieshan ina Taranto Kianada weh niem wah venyuu aafa ar nuo az Mis Luu Ruum,27
"Luwiiz Benit puoym we niem ""Kalanaizieshan ina Rivoers"" (Colonization in Reverse, 1966) provaid wah istorikal kantex fi nof a di mainariti dem we lib [[ina]] di [[UK]] [[ina]] puos-koluonial taim.",Luwiiz Benit puoym we niem Kalanaizieshan ina Rivoers provaid wah istorikal kantex fi nof a di mainariti dem we lib ina di UK ina puoskoluonial taim,26
Ou shi eh-puochrie di Jumiekan expiiriens ah disluokieshan ah rieshal inikualiti komiin laka di expiiriens we [[Sout]] Iejan piipl uu weh lib a [[Landan]] eh-ab.,Ou shi ehpuochrie di Jumiekan expiiriens ah disluokieshan ah rieshal inikualiti komiin laka di expiiriens we Sout Iejan piipl uu weh lib a Landan ehab,25
"Azwel, buot Jumiekan ah Sout Iejan piipl eh-ab simila expiiriens wen deh weh-muuv gaa [[Ingglan]] a-luk emplaiment ah beta laif, so buot piipl go chuu di komplexiti a asimilieshan ah dyual aidentiti.",Azwel buot Jumiekan ah Sout Iejan piipl ehab simila expiiriens wen deh wehmuuv gaa Ingglan aluk emplaiment ah beta laif so buot piipl go chuu di komplexiti a asimilieshan ah dyual aidentiti,32
"Deh weh-duoniet fuotograaf, aadiovijual rekaadn, karispandans, awaad ah nof ada matiiral we riliet tu Luwiiz Benit tu di Makmaasta Yunivoersiti Laibri ([[McMaster University Library]]) ina 2011 bies pah wah agriiment we se soh silekshan frah di ""fonz"", we diet frah 1941 tu 2008, weh fi dijitaiz ah [[mek]] avielobl pahlain az paat a wah dijital aakaiv.",Deh wehduoniet fuotograaf aadiovijual rekaadn karispandans awaad ah nof ada matiiral we riliet tu Luwiiz Benit tu di Makmaasta Yunivoersiti Laibri ina bies pah wah agriiment we se soh silekshan frah di fonz we diet frah tu weh fi dijitaiz ah mek avielobl pahlain az paat a wah dijital aakaiv,50
"Jak Kaatie, nuo az Jacques Cartier (Disemba 31, 1491–Septemba 1, 1557) wehna [[French]] expluora uu kliem wa a nou [[Kianada]] fi Frans.",Jak Kaatie nuo az Jacques Cartier wehna French expluora uu kliem wa a nou Kianada fi Frans,17
"Ihn wehna di fos [[Yuurop]]ian fi diskraib ahn map di Golf a Sin Larens ahn di shuor dem a di Sin Larens Riba, ush ihn niem ""Di Konchri a Kianadas"", afta di ""h""Irokwoi (Iroquois) niem dem fi di tuu big seklment ihn si a Stadacona we Kibek Siti (Quebec City) de ahn a Hochelaga wa nuo tide az Manchriaal Ailant (Montreal Island).",Ihn wehna di fos Yuuropian fi diskraib ahn map di Golf a Sin Larens ahn di shuor dem a di Sin Larens Riba ush ihn niem Di Konchri a Kianadas afta di hIrokwoi niem dem fi di tuu big seklment ihn si a Stadacona we Kibek Siti de ahn a Hochelaga wa nuo tide az Manchriaal Ailant,57
"Valderrodilla a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Valderrodilla a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,12
"Di ischri a ""h""India taat wid di Indus Vali Siblaizieshan, we pred an gruo ina di naat-wes paat a di [[India]]n sobkantinent, frah c. 3300 tu 1300 BKE.",Di ischri a hIndia taat wid di Indus Vali Siblaizieshan we pred an gruo ina di naatwes paat a di Indian sobkantinent frah c tu BKE,26
Di [[Branz Iej]] siblaizieshan ya kalaps a di taat a di sekan mileniom BKE an weh kom bifuo di Aiyan Iej Vedik piiriad.,Di Branz_Iej siblaizieshan ya kalaps a di taat a di sekan mileniom BKE an weh kom bifuo di Aiyan Iej Vedik piiriad,22
"Afta dat, nof ada empaya koh ruul di riijan, ah mek di kolcha rich - frah di Akemenid Poerjan empaya roun 543 BKE, tu [[Aligzanda di Griet]] ina 326 BKE.",Afta dat nof ada empaya koh ruul di riijan ah mek di kolcha rich frah di Akemenid Poerjan empaya roun BKE tu Aligzanda_di_Griet ina BKE,25
"Ina da siem taim ya, ah fi nof senchri afta, Sodan India, anda di ruul a di Chalukias, Cholas, Palavas ah Pandias, ab iwona guolin iej, ina we Indian siblaizieshan, adminischrieshan, kolcha, ah [[rilijan]] ([[Induizim]] ah [[Budizim]]) pred gaa di res a [[Ieja]].",Ina da siem taim ya ah fi nof senchri afta Sodan India anda di ruul a di Chalukias Cholas Palavas ah Pandias ab iwona guolin iej ina we Indian siblaizieshan adminischrieshan kolcha ah rilijan pred gaa di res a Ieja,40
Kerala weh av chried lingk wid di [[Ruoman Empaya]] frah roun 77 KE.,Kerala weh av chried lingk wid di Ruoman_Empaya frah roun KE,11
"Di sobkantinent get indipendans frah Griet Britn ina 1947, afta dem paati aaf ina India ah [[Pakistan]].",Di sobkantinent get indipendans frah Griet Britn ina afta dem paati aaf ina India ah Pakistan,16
"Maatiniik ([[French]]: ""Martinique"") a wan a di ailan we de ina di iistan [[Kiaribiyan Sii]] an ab lan ieria a 1,128 km²; ia wah uobasiiz paat a [[Frans]].",Maatiniik a wan a di ailan we de ina di iistan Kiaribiyan_Sii an ab lan ieria a km² ia wah uobasiiz paat a Frans,24
"[[Daminiika]] de tu di naatwes, ah [[Sin Luusha]] de tu di sout.",Daminiika de tu di naatwes ah Sin Luusha de tu di sout,12
"Sens Maatiniik a paat a Frans, ia paat a [[Yuurop]], di Yuropian Yuunian, ah di moni we deh yuuz a di [[Yuuro]].",Sens Maatiniik a paat a Frans ia paat a Yuurop di Yuropian Yuunian ah di moni we deh yuuz a di Yuuro,22
"Borjabad a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Borjabad a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,12
Planit a wah laaj abjek laka [[Juupita]] ar [[Oert]] we haabit [[staar]].,Planit a wah laaj abjek laka Juupita ar Oert we haabit staar,12
Abjek we haabit planit deh kaal [[satilait]].,Abjek we haabit planit deh kaal satilait,7
A iet planit ina wi [[Suola Sistim]].,A iet planit ina wi Suola_Sistim,6
"[[Pluuto]] yuus fi kaal planit, bot ina Aagos 2006, di Intanashinal Aschranamikal Yuunian disaid se a wah dwaaf planit insted.",Pluuto yuus fi kaal planit bot ina Aagos di Intanashinal Aschranamikal Yuunian disaid se a wah dwaaf planit insted,19
"Pantiyizim a di biliif se di [[Yunivoers]] (ar [[niecha]] az di tuotaliti a ebriting) aidentikal wid diviniti, ar se ebriting kompuoz a aal-inkompasin, imanent gad.",Pantiyizim a di biliif se di Yunivoers aidentikal wid diviniti ar se ebriting kompuoz a aalinkompasin imanent gad,18
"Ina di Wes, Pantiyizim eh-faamalaiz az wah sepret tialaji ah filasafi bies pah di wok a di 17t-senchri filasafa Baruk Spinuoza (adawaiz nuo az Benidik Spinuoza), fuu buk ""[[Etix]]"" ena ansa tu Dekaat fiemos dyualis tiori we se di badi ah pirit sepret.",Ina di Wes Pantiyizim ehfaamalaiz az wah sepret tialaji ah filasafi bies pah di wok a di tsenchri filasafa Baruk Spinuoza fuu buk Etix ena ansa tu Dekaat fiemos dyualis tiori we se di badi ah pirit sepret,38
Puop Benidik XVI a di priivios [[puop]] in chaaj a di [[Ruoman Kiaklik Choch]].,Puop Benidik XVI a di priivios puop in chaaj a di Ruoman Kiaklik Choch,14
Im a wan [[Joerman]].,Im a wan Joerman,4
"Renieblas a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Renieblas a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,12
"Izlamik filasafi a di sistimatik investigieshan a prablem kanek wid laif, di yunivoers, [[etix]], sasayati, ah so fuot az deh kandok ina di Muzlim wol.",Izlamik filasafi a di sistimatik investigieshan a prablem kanek wid laif di yunivoers etix sasayati ah so fuot az deh kandok ina di Muzlim wol,25
Kruoyesha a wah konchri ina [[Yuurop]].,Kruoyesha a wah konchri ina Yuurop,6
"Ina [[ikanamix]], wah gud a matiirial we satisfai yuuman waant ah provaid yuutiliti, fi egzampl, tu kansyuuma a-mek poerchis.",Ina ikanamix wah gud a matiirial we satisfai yuuman waant ah provaid yuutiliti fi egzampl tu kansyuuma amek poerchis,19
Guadiluup a wah ailan aachipelago we de ina di iistan [[Kiaribiyan Sii]].,Guadiluup a wah ailan aachipelago we de ina di iistan Kiaribiyan_Sii,11
"Chuu Guadillup a paat a [[Frans]], ah di [[Yuropiyan Yuunian]], so iyuuz di [[Yuuro]] fi koransi.",Chuu Guadillup a paat a Frans ah di Yuropiyan Yuunian so iyuuz di Yuuro fi koransi,16
"Dis kansep a mata kiah jinaralaiz frah atom fi ingkluud heni habjek we ab [[mas]] iibm wen ide res, bot dis il-difain bikaa wah abjek [[mas]] kiah araiz frah di (pasebl maslis) kanstityuent muoshan ah intarakshan enaji.",Dis kansep a mata kiah jinaralaiz frah atom fi ingkluud heni habjek we ab mas iibm wen ide res bot dis ildifain bikaa wah abjek mas kiah araiz frah di kanstityuent muoshan ah intarakshan enaji,35
"[[So]], mata no ab no yunivoersal difinishan, nar a no fondamental kansep [[ina]] fizix tide.",So mata no ab no yunivoersal difinishan nar a no fondamental kansep ina fizix tide,15
Bulgieria a wah konchri ina [[Yuurop]].,Bulgieria a wah konchri ina Yuurop,6
"Im nuon az di “faada a nomba”, an Pythogaras mek nof kanchribyuushan tu filasifi an [[rilijan]] ina di liet 6t senchri BK.",Im nuon az di “ faada a nomba ” an Pythogaras mek nof kanchribyuushan tu filasifi an rilijan ina di liet t senchri BK,24
"Aliud a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Aliud a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,12
"Di Ripoblik a Chrinidad ah Tubiego a wah aachipelajik stiet ina di sodan [[Kiaribiyan]], naatiis a di [[Sout Amoerka]]n stiet a [[Venizuela]] ah sout a [[Grinieda]] ina di Lesa Antiliiz.",Di Ripoblik a Chrinidad ah Tubiego a wah aachipelajik stiet ina di sodan Kiaribiyan naatiis a di Sout Amoerkan stiet a Venizuela ah sout a Grinieda ina di Lesa Antiliiz,30
Azwel ishier maritaim bongjri wid [[Baabiedoz]] tu di naatiis ah [[Gayana]] tu di soutiis.,Azwel ishier maritaim bongjri wid Baabiedoz tu di naatiis ah Gayana tu di soutiis,14
"Los Rábanos a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Los Rábanos a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,13
"Ietiyizim ina braad sens, a di rijekshan a [[biliif]] ina di egzistans a diyiti.",Ietiyizim ina braad sens a di rijekshan a biliif ina di egzistans a diyiti,14
"Ietiyizim kanchraas wid [[tiyizim]], we, ina imuos jinaral fam, a di biliif se akliis wan diyiti egzis.",Ietiyizim kanchraas wid tiyizim we ina imuos jinaral fam a di biliif se akliis wan diyiti egzis,17
"Duruelo de la Sierra a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Duruelo de la Sierra a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,15
"Telivijan ar TV a wah [[telikomiunikieshan]] miidia we yuuz fi chanzmit song wid muuvin imij ina monokruom (blak-ah-wait), ar ina kola, ah ina tuu ar chrii dimenshan.",Telivijan ar TV a wah telikomiunikieshan miidia we yuuz fi chanzmit song wid muuvin imij ina monokruom ar ina kola ah ina tuu ar chrii dimenshan,26
"Telivijan a mas miidia, fi hentatienment, [[edikieshan]], nyuuz, ah [[advataizin]].",Telivijan a mas miidia fi hentatienment edikieshan nyuuz ah advataizin,10
I a di soksesa fi di Zaardom a [[Rosha]] ahn di pridisesa fi di Suoviet Yunian.,I a di soksesa fi di Zaardom a Rosha ahn di pridisesa fi di Suoviet Yunian,16
"Iwehna wan a di laajis empaya ina wol ischri, sopaas ina lanmas onggl bai di British ahn Mangguolian empayadem: wan taim roun 1866, ichrech frahn iistan Yuurop kraas [[Ieja]] klier tu [[Naat Amoerka]].",Iwehna wan a di laajis empaya ina wol ischri sopaas ina lanmas onggl bai di British ahn Mangguolian empayadem wan taim roun ichrech frahn iistan Yuurop kraas Ieja klier tu Naat Amoerka,32
"Momblona a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Momblona a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,12
"Di Kiatikizim a di Kiaklik Choch (Latn: ""Catechismus Catholicae Ecclesiae""; kamanli kaal di Kiatikizim ar di CCC) a di kiatikizim promulgiet fi di Kiaklik Choch bai [[Puop]] Jan Paal II [[ina]] 1992.",Di Kiatikizim a di Kiaklik Choch a di kiatikizim promulgiet fi di Kiaklik Choch bai Puop Jan Paal II ina,20
"Isomop, [[ina]] buk faam, di biliifdem a di Kiaklik fietful.",Isomop ina buk faam di biliifdem a di Kiaklik fietful,10
"Anggila a wah British uobasii terichri ina di [[Kiaribiyan]], wan a di muos nadan a aal a di Liiwad Ailan, we de ina di Lesa Antiliiz.",Anggila a wah British uobasii terichri ina di Kiaribiyan wan a di muos nadan a aal a di Liiwad Ailan we de ina di Lesa Antiliiz,26
"Yugoslavia did ah konchri ina [[Yuurop]] dat consisted ah [[Kruoyesha]], [[Soerbia]], [[Montenegro]], Naat Masiduonia, [[Montenegro]] an [[Baznia ah Oerzigoviina]].",Yugoslavia did ah konchri ina Yuurop dat consisted ah Kruoyesha Soerbia Montenegro Naat Masiduonia Montenegro an Baznia ah Oerzigoviina,19
Kiribati a wah konchri ina [[Uoshania]].,Kiribati a wah konchri ina Uoshania,6
"Lokiet pah di [[Meditarienian Sii]] ah senta pah di siti a Ruom, iexpan teli bikomps wan a di laajis empaya ina di ienshent wol wid estimet a 50 tu 90 milian inabitant (rofli 20% a di wol papilieshan deh taim de) ah iweh-kova 6.5 milian skwier kilomita weni de a ipiik bitwiin di fos ah sekan senchri KE.",Lokiet pah di Meditarienian_Sii ah senta pah di siti a Ruom iexpan teli bikomps wan a di laajis empaya ina di ienshent wol wid estimet a tu milian inabitant ah iwehkova milian skwier kilomita weni de a ipiik bitwiin di fos ah sekan senchri KE,45
"Muotaim igruup ina klasikal antikuiti tigeda wid [[ienshent Griis]], ah deh simila kolcha ah sasayati nuo az di Griiko-Ruoman wol.",Muotaim igruup ina klasikal antikuiti tigeda wid ienshent_Griis ah deh simila kolcha ah sasayati nuo az di GriikoRuoman wol,19
"[[Ruom]] ena wah aili divelop siblizieshan, we profeshanalaiz ah expan imilichri ah kriet sistim a gobament kaal [[res publica]], di inspirieshan fi madan ripoblikdem[8][9][10] laka di [[Yunaitid Stiet]] ah [[Frans]].",Ruom ena wah aili divelop siblizieshan we profeshanalaiz ah expan imilichri ah kriet sistim a gobament kaal res publica di inspirieshan fi madan ripoblikdem laka di Yunaitid Stiet ah Frans,30
"Bai di hen a di Ripoblik (27 BKI), [[Ruom]] eh-don-kangka di landem rong di Meditarienian ah biyan: idomien exten frah di hAtlantik tu Ariebia ah frah di mout a di [[Rain]] tu Naat [[Afrika]].",Bai di hen a di Ripoblik Ruom ehdonkangka di landem rong di Meditarienian ah biyan idomien exten frah di hAtlantik tu Ariebia ah frah di mout a di Rain tu Naat Afrika,32
Di [[Ruoman Empaya]] himoerj wid di hen a di Ripoblik ah di diktietaship a Agostos Siiza.,Di Ruoman_Empaya himoerj wid di hen a di Ripoblik ah di diktietaship a Agostos Siiza,15
721 ier a Ruoman-Poerjan Waar taat [[ina]] 92 [[BKI]] wid deh fos waar [[gens]] Paatia.,ier a RuomanPoerjan Waar taat ina BKI wid deh fos waar gens Paatia,13
"Iwuda bikoms di langgis kanflik [[ina]] yuuman ischri, ah ab mieja ifek ah kangsikuens we laas fi buot empaya.",Iwuda bikoms di langgis kanflik ina yuuman ischri ah ab mieja ifek ah kangsikuens we laas fi buot empaya,19
"[[Anda]] Chriejan, di hEmpaya riich iterituorial piik.",Anda Chriejan di hEmpaya riich iterituorial piik,7
"Disya plinta-plinta a di lanmaak we istuorian yuuz fi divaid di ienshent piiriad a yunivoersal ischri frah di prii-midiival ""Daak Iejiz"" a [[Yuurop]].",Disya plintaplinta a di lanmaak we istuorian yuuz fi divaid di ienshent piiriad a yunivoersal ischri frah di priimidiival Daak Iejiz a Yuurop,23
"Limitid vuotn rait eh-gien bai di umandem ina [[Finlan]], [[Aislan]], [[Swiidn]] ah soh westan Y.S.",Limitid vuotn rait ehgien bai di umandem ina Finlan Aislan Swiidn ah soh westan YS,15
"<br/>  Aaklan a di bigis [[siti]] ina [[Nyuu Ziilant]], lokiet pah di naat kuos a di Naat Ailan, wid papilieshan a 1,495,000 ina 2016.",br Aaklan a di bigis siti ina Nyuu Ziilant lokiet pah di naat kuos a di Naat Ailan wid papilieshan a ina,22
Di mas midia a wah difrah-difrah kalekshan a midia [[teknalaji]] we riich laaj aadiens vaya mas komiunikieshan.,Di mas midia a wah difrahdifrah kalekshan a midia teknalaji we riich laaj aadiens vaya mas komiunikieshan,17
"Stakuom (Swiidish: ""Stockholm"") a di kyapital fi [[Swiidn]].",Stakuom a di kyapital fi Swiidn,6
"Guo a [[buod giem]], kaal I-Go ina [[Japan]]iiz, ah Wei-chi ina Chaini.",Guo a buod_giem kaal IGo ina Japaniiz ah Weichi ina Chaini,11
"Miguel de Cervantes Saavedra (Septemba 29, 1547 – Iepril 23, 1616) a wehn wahn [[Panish]] navlis, puoim raita, an plie raita.",Miguel de Cervantes Saavedra a wehn wahn Panish navlis puoim raita an plie raita,14
Sudan a wahn konchri ina [[Afrika]].,Sudan a wahn konchri ina Afrika,6
"Mongx di faktadem we eh-shiep madanizim eh di divelopment a madan indoschrial sasayati ah di rapid gruot a siti, fala den bai di ara a [[Wol Waar I]].",Mongx di faktadem we ehshiep madanizim eh di divelopment a madan indoschrial sasayati ah di rapid gruot a siti fala den bai di ara a Wol_Waar_I,26
Azabaijan a wah savrin konchri a [[Ieja]] an [[Yuurop]].,Azabaijan a wah savrin konchri a Ieja an Yuurop,9
"Di Huoldong Tekwe Afrika (""Scramble for Africa"") wena di inviejan, akiupieshan, kalanaizieshan ah anexieshan a [[Afrika]]n terichri bai Yuropiyan powaz juurin di piiriad a Nyuu Impiirializam, bitwiin 1881 ah 1914.",Di Huoldong Tekwe Afrika wena di inviejan akiupieshan kalanaizieshan ah anexieshan a Afrikan terichri bai Yuropiyan powaz juurin di piiriad a Nyuu Impiirializam bitwiin ah,25
"Ina 1870, onggl 10 posent a Afrika weh anda Yuropiyan kanchuol; bai 1914 ihinkriis tu 90 posent a di kantinent, wid onggl [[Iityuopia]] (Abisinia) ah [[Laibiiria]] stil indipendant.",Ina onggl posent a Afrika weh anda Yuropiyan kanchuol bai ihinkriis tu posent a di kantinent wid onggl Iityuopia ah Laibiiria stil indipendant,23
"Di onggl kalani di [[Yunaitid Stiet]] kuda klaim wena Laibiiria we extablish bai di Amoerkan Kalanaizieshan Sasayati pah Janiweri 7, 1822.",Di onggl kalani di Yunaitid_Stiet kuda klaim wena Laibiiria we extablish bai di Amoerkan Kalanaizieshan Sasayati pah Janiweri,18
"Kianggl a wah ignaitebl wik we embed ina wax ar waneda flamebl salid sobstans laka talo fi provaid [[lait]], ah ina som kies, friegrant.",Kianggl a wah ignaitebl wik we embed ina wax ar waneda flamebl salid sobstans laka talo fi provaid lait ah ina som kies friegrant,24
"Ikiah aalso yuuz fi provaid [[iit]], ar yuuz az metod fi kip [[taim]].",Ikiah aalso yuuz fi provaid iit ar yuuz az metod fi kip taim,13
"Valdelagua del Cerro a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Valdelagua del Cerro a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,14
"Carrascosa de Abajo a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Carrascosa de Abajo a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,14
"Waata (kimikal faamiula: H2O) a chansparant fluid we faam di wol schriimdem, like, [[uoshan]] ah [[rien]], an a di mieja kanstityuent a di fluid a ""h""aaganizim.",Waata a chansparant fluid we faam di wol schriimdem like uoshan ah rien an a di mieja kanstityuent a di fluid a haaganizim,23
Waata [[mek]] outa two Iydrojen ahn whan Oxijen malicyuul.,Waata mek outa two Iydrojen ahn whan Oxijen malicyuul,9
[[It]] a whan likwid at [[room]] tempicha but it cyan freez lickl rounah zeeroh digreez - 0 °C (32 °F) ahn tun gyas roun hunjid digreez - 100 °C (212 °F).,It a whan likwid at room tempicha but it cyan freez lickl rounah zeeroh digreez °C ahn tun gyas roun hunjid digreez °C,23
"Piramid a wah chokcha uufa outa soerfisdem chrayanggiula ah deh kanvoerj tu wah dege paint a di tap, fi [[mek]] di shiep rofli wah piramid ina di jaamechrik sens.",Piramid a wah chokcha uufa outa soerfisdem chrayanggiula ah deh kanvoerj tu wah dege paint a di tap fi mek di shiep rofli wah piramid ina di jaamechrik sens,29
"Aamschrang a fongdieshanal influens pah [[jaz]], ih shif-shif di [[myuuzik]] fuokos frah kalektiv impravizieshan tu suolo pofaama.",Aamschrang a fongdieshanal influens pah jaz ih shifshif di myuuzik fuokos frah kalektiv impravizieshan tu suolo pofaama,17
"Yelo a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Yelo a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,12
Bailoji a di saiyans we stodi di livin [[aaganizim]] dem.,Bailoji a di saiyans we stodi di livin aaganizim dem,10
"Chradishanali, bailoji brok op ina nof nof difrent ieriya, bies pan difrent aaganizm: [[Batani]], di stodi a di plaant dem; [[zuulaji]], di stodi a di animal dem; ahn maikrobailoji, di stodi a di wuoliip a maikro-aaganizm.",Chradishanali bailoji brok op ina nof nof difrent ieriya bies pan difrent aaganizm Batani di stodi a di plaant dem zuulaji di stodi a di animal dem ahn maikrobailoji di stodi a di wuoliip a maikroaaganizm,36
Kristianiti a wah Iebriamik monotiyistik [[rilijan]] bies pah di laif ah tiichin a Jiizas Krais az ou iprizent ina di Nyuu Testiment.,Kristianiti a wah Iebriamik monotiyistik rilijan bies pah di laif ah tiichin a Jiizas Krais az ou iprizent ina di Nyuu Testiment,22
"La Riba de Escalote a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",La Riba de Escalote a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,15
"Valdeavellano de Tera a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Valdeavellano de Tera a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,14
"Reptail a wah gruup (Reptilia) a techrapad [[animal]] we kompraiz tidedie toerkl, krokodail, siniek, amfisbiinian, lizad, tuatara, ah deh extingk relitivdem.",Reptail a wah gruup a techrapad animal we kompraiz tidedie toerkl krokodail siniek amfisbiinian lizad tuatara ah deh extingk relitivdem,20
"Di todi a demaya chadishanal reptail gruup, istarikali kombain wid di gruup a madan [[amfibian]], kaal oerpetalaji.",Di todi a demaya chadishanal reptail gruup istarikali kombain wid di gruup a madan amfibian kaal oerpetalaji,17
Sloviinia a wah konchri ina [[Yuurop]].,Sloviinia a wah konchri ina Yuurop,6
Deli a di largess siti ina [[India]].,Deli a di largess siti ina India,7
"Di Danyuub a fi [[Yuurop]] sekan-langgis riva, afta di Volga Riva, azwel di langgis riva ina di Yuropiyan Yuunian riijan.",Di Danyuub a fi Yuurop sekanlanggis riva afta di Volga Riva azwel di langgis riva ina di Yuropiyan Yuunian riijan,20
"[[Wolfgang Amadeus Mozart]], ful niem ""[[Johann Chrysostom Wolfgang Amadeus Mozart]]"", we nuo az Vulfgiang Amadios Muotzaat (27 Janiweri 1756 – 5 Disemba 1791), wehna pruolifik ahn ""h""influenshal kompuoza frahn di Yuuropian Klasikal era.",Wolfgang_Amadeus_Mozart ful niem Johann Chrysostom Wolfgang Amadeus Mozart we nuo az Vulfgiang Amadios Muotzaat wehna pruolifik ahn hinfluenshal kompuoza frahn di Yuuropian Klasikal era,24
"Alredi kampitent pahn kiibuod ahn vayalin, ihn kompuoz frahn di iej a faib ahn pofaam bifuo Yuuropian rayalti; a sebntiin ihn get apaint az kuot myuuzishan a [[Salzborg]], bot ihn get reslis ahn trabl a saach fi beta pozishan, aalzwie a kompuoz nof.",Alredi kampitent pahn kiibuod ahn vayalin ihn kompuoz frahn di iej a faib ahn pofaam bifuo Yuuropian rayalti a sebntiin ihn get apaint az kuot myuuzishan a Salzborg bot ihn get reslis ahn trabl a saach fi beta pozishan aalzwie a kompuoz nof,43
"Gaan a [[Viena]] ina 1781 ihn get dismis frahn ihn [[Salzborg]] pozishan ahn chuuz fi tan ina di kiapital, we uoba di res a ihn laif ihn achiiv fiem bot likl finanshal sikioriti.",Gaan a Viena ina ihn get dismis frahn ihn Salzborg pozishan ahn chuuz fi tan ina di kiapital we uoba di res a ihn laif ihn achiiv fiem bot likl finanshal sikioriti,32
"Di fainal ierdem a [[Viena]] yiil nof a ihn bes-nuo simfani, kanchorto, ""h""apra, ahn di Rekwiem.",Di fainal ierdem a Viena yiil nof a ihn besnuo simfani kanchorto hapra ahn di Rekwiem,16
"Di [[Intanashinal Red Kraas ah Red Krisent Muuvment]] a wah intanashinal yuumanitierian muuvment wid apraximetli 97 milian valiuntier, memba ah staaf wolwaid we eh-foun fi protek yuuman laif ah elt, fi inshuor rispek fi aal yuuman biin, ah fi privent ah aliviet yuuman sofarin.",Di Intanashinal_Red_Kraas_ah_Red_Krisent_Muuvment a wah intanashinal yuumanitierian muuvment wid apraximetli milian valiuntier memba ah staaf wolwaid we ehfoun fi protek yuuman laif ah elt fi inshuor rispek fi aal yuuman biin ah fi privent ah aliviet yuuman sofarin,37
"Fuentelsaz de Soria a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Fuentelsaz de Soria a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,14
"Im wehn baan ina wahn migl klaas Jorman taakin faambli ina Praag, Aschriya-Onggri, nou di [[Chek Ripoblik]].",Im wehn baan ina wahn migl klaas Jorman taakin faambli ina Praag AschriyaOnggri nou di Chek_Ripoblik,16
Jiruusalem a di kyapital a [[Izrel]] an a di bigis siti ina papyulieshan an ieriya.,Jiruusalem a di kyapital a Izrel an a di bigis siti ina papyulieshan an ieriya,15
"Naruhito (Febiweri 23 1960, a Tuokio, [[Japan]]) wehna 126th emperor di [[Japan]] ina 2019.",Naruhito wehna th emperor di Japan ina,7
[[Flim]] kriet bai fotografin akchal siin wid muoshan picha kiamara; bai fotografin jraayn ar minicha magl wid di yuus a chradishanal animieshan tekniik; bai miinz a CGI ah kompyuuta animieshan; ar bai kambinieshan a som ar aal a demya tekniik ah adaels vijual ifek.,Flim kriet bai fotografin akchal siin wid muoshan picha kiamara bai fotografin jraayn ar minicha magl wid di yuus a chradishanal animieshan tekniik bai miinz a CGI ah kompyuuta animieshan ar bai kambinieshan a som ar aal a demya tekniik ah adaels vijual ifek,44
Anatomi a di branch a [[bailoji]] kansoern wid di stodi a di chokcha a aaganizim ah deh paats.,Anatomi a di branch a bailoji kansoern wid di stodi a di chokcha a aaganizim ah deh paats,18
